"(Intercept)","eDNA_captureF","MonthAugust","MonthJuly","MonthJune","MonthMay","MonthOctober","MonthSeptember"
0.202635654570165,-1.36990215903962,-1.36990215903962,-1.36990215903962,-1.36990215903962,-1.36990215903962,-1.36990215903962,-1.36990215903962
0.619328630751477,0.486699582688845,0.486699582688845,0.486699582688845,0.486699582688845,0.486699582688845,0.486699582688845,0.486699582688845
0.442930013715082,-0.229279105680471,-0.229279105680471,-0.229279105680471,-0.229279105680471,-0.229279105680471,-0.229279105680471,-0.229279105680471
0.448988353739285,-0.204758996332862,-0.204758996332862,-0.204758996332862,-0.204758996332862,-0.204758996332862,-0.204758996332862,-0.204758996332862
0.616962445757685,0.476675118956356,0.476675118956356,0.476675118956356,0.476675118956356,0.476675118956356,0.476675118956356,0.476675118956356
0.356701821349446,-0.589708148691285,-0.589708148691285,-0.589708148691285,-0.589708148691285,-0.589708148691285,-0.589708148691285,-0.589708148691285
0.210791999594391,-1.32015804809976,-1.32015804809976,-1.32015804809976,-1.32015804809976,-1.32015804809976,-1.32015804809976,-1.32015804809976
0.0323742335609103,-3.39748256166214,-3.39748256166214,-3.39748256166214,-3.39748256166214,-3.39748256166214,-3.39748256166214,-3.39748256166214
0.0441539921235447,-3.07491347566304,-3.07491347566304,-3.07491347566304,-3.07491347566304,-3.07491347566304,-3.07491347566304,-3.07491347566304
0.0275326236338797,-3.56446491325942,-3.56446491325942,-3.56446491325942,-3.56446491325942,-3.56446491325942,-3.56446491325942,-3.56446491325942
0.0771674984898321,-2.48146938184894,-2.48146938184894,-2.48146938184894,-2.48146938184894,-2.48146938184894,-2.48146938184894,-2.48146938184894
0.138433806243284,-1.82835961036609,-1.82835961036609,-1.82835961036609,-1.82835961036609,-1.82835961036609,-1.82835961036609,-1.82835961036609
0.176193564364674,-1.5423524058742,-1.5423524058742,-1.5423524058742,-1.5423524058742,-1.5423524058742,-1.5423524058742,-1.5423524058742
0.140402918182272,-1.81194749379868,-1.81194749379868,-1.81194749379868,-1.81194749379868,-1.81194749379868,-1.81194749379868,-1.81194749379868
0.114818518335686,-2.04243990759187,-2.04243990759187,-2.04243990759187,-2.04243990759187,-2.04243990759187,-2.04243990759187,-2.04243990759187
0.251543980232277,-1.09039459835759,-1.09039459835759,-1.09039459835759,-1.09039459835759,-1.09039459835759,-1.09039459835759,-1.09039459835759
0.121792869566124,-1.97556066605615,-1.97556066605615,-1.97556066605615,-1.97556066605615,-1.97556066605615,-1.97556066605615,-1.97556066605615
0.0866891701482102,-2.35474730736304,-2.35474730736304,-2.35474730736304,-2.35474730736304,-2.35474730736304,-2.35474730736304,-2.35474730736304
0.0651384412365551,-2.66388358270625,-2.66388358270625,-2.66388358270625,-2.66388358270625,-2.66388358270625,-2.66388358270625,-2.66388358270625
0.0841811027074623,-2.38684817209126,-2.38684817209126,-2.38684817209126,-2.38684817209126,-2.38684817209126,-2.38684817209126,-2.38684817209126
0.0317050465705273,-3.41906087879878,-3.41906087879878,-3.41906087879878,-3.41906087879878,-3.41906087879878,-3.41906087879878,-3.41906087879878
0.00819492980573522,-4.79601093949551,-4.79601093949551,-4.79601093949551,-4.79601093949551,-4.79601093949551,-4.79601093949551,-4.79601093949551
0.00533666279372364,-5.22780381272021,-5.22780381272021,-5.22780381272021,-5.22780381272021,-5.22780381272021,-5.22780381272021,-5.22780381272021
0.0133236964869151,-4.30479788503136,-4.30479788503136,-4.30479788503136,-4.30479788503136,-4.30479788503136,-4.30479788503136,-4.30479788503136
0.0660218568521472,-2.64946718498434,-2.64946718498434,-2.64946718498434,-2.64946718498434,-2.64946718498434,-2.64946718498434,-2.64946718498434
0.0140039416309541,-4.2543135219403,-4.2543135219403,-4.2543135219403,-4.2543135219403,-4.2543135219403,-4.2543135219403,-4.2543135219403
0.0061126915157496,-5.09125664235315,-5.09125664235315,-5.09125664235315,-5.09125664235315,-5.09125664235315,-5.09125664235315,-5.09125664235315
0.00651647813624564,-5.02688340906406,-5.02688340906406,-5.02688340906406,-5.02688340906406,-5.02688340906406,-5.02688340906406,-5.02688340906406
0.0266607652035274,-3.59753965307638,-3.59753965307638,-3.59753965307638,-3.59753965307638,-3.59753965307638,-3.59753965307638,-3.59753965307638
0.0475567802439828,-2.99710612271128,-2.99710612271128,-2.99710612271128,-2.99710612271128,-2.99710612271128,-2.99710612271128,-2.99710612271128
0.0933890190617918,-2.27293968126144,-2.27293968126144,-2.27293968126144,-2.27293968126144,-2.27293968126144,-2.27293968126144,-2.27293968126144
0.0249683826310222,-3.66485956883506,-3.66485956883506,-3.66485956883506,-3.66485956883506,-3.66485956883506,-3.66485956883506,-3.66485956883506
0.0436723260556108,-3.08638597903413,-3.08638597903413,-3.08638597903413,-3.08638597903413,-3.08638597903413,-3.08638597903413,-3.08638597903413
0.0193956849027834,-3.92311841603672,-3.92311841603672,-3.92311841603672,-3.92311841603672,-3.92311841603672,-3.92311841603672,-3.92311841603672
0.0140328053847312,-4.25222525259587,-4.25222525259587,-4.25222525259587,-4.25222525259587,-4.25222525259587,-4.25222525259587,-4.25222525259587
0.000982944277387979,-6.92397469801868,-6.92397469801868,-6.92397469801868,-6.92397469801868,-6.92397469801868,-6.92397469801868,-6.92397469801868
0.00378029647679696,-5.57416537955493,-5.57416537955493,-5.57416537955493,-5.57416537955493,-5.57416537955493,-5.57416537955493,-5.57416537955493
0.0198113646706224,-3.90148929186713,-3.90148929186713,-3.90148929186713,-3.90148929186713,-3.90148929186713,-3.90148929186713,-3.90148929186713
0.0161250972092904,-4.11112186651334,-4.11112186651334,-4.11112186651334,-4.11112186651334,-4.11112186651334,-4.11112186651334,-4.11112186651334
0.0284688012106978,-3.53006458904366,-3.53006458904366,-3.53006458904366,-3.53006458904366,-3.53006458904366,-3.53006458904366,-3.53006458904366
0.0248964674251326,-3.66781772968716,-3.66781772968716,-3.66781772968716,-3.66781772968716,-3.66781772968716,-3.66781772968716,-3.66781772968716
0.0471656593357508,-3.00577498788274,-3.00577498788274,-3.00577498788274,-3.00577498788274,-3.00577498788274,-3.00577498788274,-3.00577498788274
0.0195123801987292,-3.91700087303938,-3.91700087303938,-3.91700087303938,-3.91700087303938,-3.91700087303938,-3.91700087303938,-3.91700087303938
0.0101405878163462,-4.58101695861256,-4.58101695861256,-4.58101695861256,-4.58101695861256,-4.58101695861256,-4.58101695861256,-4.58101695861256
0.0117647841233268,-4.43081006921023,-4.43081006921023,-4.43081006921023,-4.43081006921023,-4.43081006921023,-4.43081006921023,-4.43081006921023
0.0373857943532424,-3.24836191220083,-3.24836191220083,-3.24836191220083,-3.24836191220083,-3.24836191220083,-3.24836191220083,-3.24836191220083
0.0267489807620868,-3.59414566347771,-3.59414566347771,-3.59414566347771,-3.59414566347771,-3.59414566347771,-3.59414566347771,-3.59414566347771
0.00229342863843078,-6.07541129653938,-6.07541129653938,-6.07541129653938,-6.07541129653938,-6.07541129653938,-6.07541129653938,-6.07541129653938
0.00305941364647875,-5.78646789695712,-5.78646789695712,-5.78646789695712,-5.78646789695712,-5.78646789695712,-5.78646789695712,-5.78646789695712
0.00590211578713957,-5.12652478225451,-5.12652478225451,-5.12652478225451,-5.12652478225451,-5.12652478225451,-5.12652478225451,-5.12652478225451
